Order ID,Order Date,Processed Date,Ship Date,Ship Mode,Customer ID,Postal Code,City,County,State,RegionName,Latitude,Longitude,Product ID,Product name,Cost,List Price,Quantity,Discount,Cost of Order,Gross Revenue,Net Revenue,Net Profit,Products.List_Price_Bin,CustomerSegment,CustomerType,sub-category,Product Categories.Category
US-2017-123862,"Friday, 24 December 2021","Tuesday, 28 December 2021","Thursday, 30 December 2021",1,JF-23862,90805,Long Beach,Los Angeles,California,Southwest,33.86,-118.18,80,"Brites Rubber Bands, 1 1-2 oz. Box",3.1,5.2,1,0,3.1,5.2,5.2,2.1,0 - 100,Consumer,Single Purchase,Fasteners,Office Supplies
US-2017-123862,"Friday, 24 December 2021","Tuesday, 28 December 2021","Thursday, 30 December 2021",1,JF-23862,90805,Long Beach,Los Angeles,California,Southwest,33.86,-118.18,34,"Decoflex Hanging Personal Folder File, Blue",57,95,1,0,57,95,95,38,0 - 100,Consumer,Single Purchase,Storage,Office Supplies
CA-2014-110849,"Wednesday, 10 April 2019","Tuesday, 23 April 2019","Sunday, 28 April 2019",2,JL-10849,90049,Los Angeles,Los Angeles,California,Southwest,34.07,-118.47,87,Advantus Plastic Paper Clips,2.9,4.9,1,0,2.9,4.9,4.9,2,0 - 100,Consumer,Single Purchase,Fasteners,Office Supplies
US-2017-114034,"Tuesday, 28 December 2021","Saturday, 1 January 2022","Thursday, 6 January 2022",2,DL-14034,91730,Rancho Cucamonga,San Bernardino,California,Southwest,34.11,-117.59,48,"Speediset Carbonless Redi-Letter 7"" x 8 1-2""",14.8,24.7,1,0,14.8,24.7,24.7,9.9,0 - 100,Consumer,Single Purchase,Paper,Office Supplies
US-2017-116652,"Monday, 6 September 2021","Saturday, 11 September 2021","Wednesday, 15 September 2021",2,RD-16652,94122,San Francisco,City and County of San Francisco,California,Southwest,37.76,-122.48,146,Model L Table or Wall-Mount Pencil Sharpener,8.8,14.7,1,0,8.8,14.7,14.7,5.9,0 - 100,Consumer,Single Purchase,Art,Office Supplies
US-2017-117534,"Saturday, 19 March 2022","Saturday, 2 April 2022","Sunday, 3 April 2022",3,CV-17534,93727,Fresno,Fresno,California,Southwest,36.75,-119.71,149,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,54.8,91.4,1,0,54.8,91.4,91.4,36.6,0 - 100,Consumer,Single Purchase,Appliances,Office Supplies
US-2017-116652,"Monday, 6 September 2021","Saturday, 11 September 2021","Wednesday, 15 September 2021",2,RD-16652,94122,San Francisco,City and County of San Francisco,California,Southwest,37.76,-122.48,149,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,54.8,91.4,1,0,54.8,91.4,91.4,36.6,0 - 100,Consumer,Single Purchase,Appliances,Office Supplies
CA-2015-112319,"Monday, 17 August 2020","Saturday, 29 August 2020","Thursday, 3 September 2020",2,AR-12319,90004,Los Angeles,Los Angeles,California,Southwest,34.08,-118.3,44,Xerox 1896,16.1,26.9,1,0,16.1,26.9,26.9,10.8,0 - 100,Consumer,Single Purchase,Paper,Office Supplies
CA-2015-113110,"Wednesday, 11 March 2020","Sunday, 15 March 2020","Thursday, 19 March 2020",2,BK-13110,92404,San Bernardino,San Bernardino,California,Southwest,34.14,-117.26,67,Avery 483,6.1,10.2,1,0,6.1,10.2,10.2,4.1,0 - 100,Consumer,Single Purchase,Labels,Office Supplies
CA-2015-113110,"Wednesday, 11 March 2020","Sunday, 15 March 2020","Thursday, 19 March 2020",2,BK-13110,92404,San Bernardino,San Bernardino,California,Southwest,34.14,-117.26,51,Xerox 1915,13,21.7,1,0,13,21.7,21.7,8.7,0 - 100,Consumer,Single Purchase,Paper,Office Supplies
US-2017-157224,"Wednesday, 8 September 2021","Wednesday, 22 September 2021","Sunday, 26 September 2021",1,JB-57224,90045,Los Angeles,Los Angeles,California,Southwest,33.96,-118.39,65,Avery 51,6.1,10.2,1,0,6.1,10.2,10.2,4.1,0 - 100,Consumer,Single Purchase,Labels,Office Supplies
